nohup: ignoring input
Run 1 | Seed 42
Using device: cuda
Train: 22050 | Val: 2754 | Test: 2754
Loaded frozen autoencoder.
Epoch [074/100] [adversarial] G: 0.018283 D: 0.693328 | Val PSNR AE: 28.51 GAN: 29.15 | Val SSIM AE: 0.9143 GAN: 0.9237
Epoch [075/100] [adversarial] G: 0.018379 D: 0.693303 | Val PSNR AE: 28.51 GAN: 29.12 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [076/100] [adversarial] G: 0.018278 D: 0.693272 | Val PSNR AE: 28.51 GAN: 29.04 | Val SSIM AE: 0.9143 GAN: 0.9231
Epoch [077/100] [adversarial] G: 0.018259 D: 0.693361 | Val PSNR AE: 28.51 GAN: 28.93 | Val SSIM AE: 0.9143 GAN: 0.9238
Epoch [078/100] [adversarial] G: 0.018187 D: 0.693265 | Val PSNR AE: 28.51 GAN: 29.08 | Val SSIM AE: 0.9143 GAN: 0.9233
Epoch [079/100] [adversarial] G: 0.018259 D: 0.693290 | Val PSNR AE: 28.51 GAN: 28.96 | Val SSIM AE: 0.9143 GAN: 0.9237
Epoch [080/100] [adversarial] G: 0.018214 D: 0.693293 | Val PSNR AE: 28.51 GAN: 29.07 | Val SSIM AE: 0.9143 GAN: 0.9240
Epoch [081/100] [adversarial] G: 0.018114 D: 0.693197 | Val PSNR AE: 28.51 GAN: 29.15 | Val SSIM AE: 0.9143 GAN: 0.9238
Epoch [082/100] [adversarial] G: 0.018130 D: 0.693300 | Val PSNR AE: 28.51 GAN: 29.17 | Val SSIM AE: 0.9143 GAN: 0.9237
Epoch [083/100] [adversarial] G: 0.018157 D: 0.693291 | Val PSNR AE: 28.51 GAN: 29.12 | Val SSIM AE: 0.9143 GAN: 0.9239
Epoch [084/100] [adversarial] G: 0.018140 D: 0.693207 | Val PSNR AE: 28.51 GAN: 29.14 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [085/100] [adversarial] G: 0.018068 D: 0.693300 | Val PSNR AE: 28.51 GAN: 29.07 | Val SSIM AE: 0.9143 GAN: 0.9237
Epoch [086/100] [adversarial] G: 0.018092 D: 0.693304 | Val PSNR AE: 28.51 GAN: 28.62 | Val SSIM AE: 0.9143 GAN: 0.9238
Epoch [087/100] [adversarial] G: 0.018074 D: 0.693314 | Val PSNR AE: 28.51 GAN: 29.15 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [088/100] [adversarial] G: 0.018111 D: 0.693245 | Val PSNR AE: 28.51 GAN: 29.15 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [089/100] [adversarial] G: 0.018009 D: 0.693234 | Val PSNR AE: 28.51 GAN: 29.00 | Val SSIM AE: 0.9143 GAN: 0.9236
Epoch [090/100] [adversarial] G: 0.017962 D: 0.693280 | Val PSNR AE: 28.51 GAN: 29.08 | Val SSIM AE: 0.9143 GAN: 0.9233
Epoch [091/100] [adversarial] G: 0.017981 D: 0.693235 | Val PSNR AE: 28.51 GAN: 28.80 | Val SSIM AE: 0.9143 GAN: 0.9239
Epoch [092/100] [adversarial] G: 0.017970 D: 0.693305 | Val PSNR AE: 28.51 GAN: 29.10 | Val SSIM AE: 0.9143 GAN: 0.9237
Epoch [093/100] [adversarial] G: 0.018031 D: 0.693241 | Val PSNR AE: 28.51 GAN: 29.14 | Val SSIM AE: 0.9143 GAN: 0.9240
Epoch [094/100] [adversarial] G: 0.017899 D: 0.693292 | Val PSNR AE: 28.51 GAN: 29.12 | Val SSIM AE: 0.9143 GAN: 0.9238
Epoch [095/100] [adversarial] G: 0.017932 D: 0.693239 | Val PSNR AE: 28.51 GAN: 29.17 | Val SSIM AE: 0.9143 GAN: 0.9243
Epoch [096/100] [adversarial] G: 0.017846 D: 0.693300 | Val PSNR AE: 28.51 GAN: 29.07 | Val SSIM AE: 0.9143 GAN: 0.9234
Epoch [097/100] [adversarial] G: 0.017825 D: 0.693209 | Val PSNR AE: 28.51 GAN: 29.08 | Val SSIM AE: 0.9143 GAN: 0.9239
Epoch [098/100] [adversarial] G: 0.017839 D: 0.693266 | Val PSNR AE: 28.51 GAN: 28.97 | Val SSIM AE: 0.9143 GAN: 0.9243
Epoch [099/100] [adversarial] G: 0.017860 D: 0.693200 | Val PSNR AE: 28.51 GAN: 29.11 | Val SSIM AE: 0.9143 GAN: 0.9239
Epoch [100/100] [adversarial] G: 0.017762 D: 0.693284 | Val PSNR AE: 28.51 GAN: 29.18 | Val SSIM AE: 0.9143 GAN: 0.9239
GAN training complete.
Saved generator.pt and discriminator.pt
Saved result figure -> /home/zn0004/CPE487587_SP26_Final_Project/results/run1/gan_results.png
